,user_id,song_id,listen_count,title,release,artist_name,year,song
4900,17ac9905f03a5d2908ac64667fb156bf63ccae66,SOJILUX12A81C202FD,1,Disorder [2007 Re-mastered Album Version],Unknown Pleasures [Collector's Edition],Joy Division,0,Disorder [2007 Re-mastered Album Version] - Joy Division
6560,8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOBXHDL12A81C204C0,2,Stronger,Graduation,Kanye West,2007,Stronger - Kanye West
6327,f0117aaaa329925350271431c324f4cf0468bb0c,SOTJLCA12A8AE474A7,2,Scream,HIStory - PAST_ PRESENT AND FUTURE - Book I,Michael Jackson,2008,Scream - Michael Jackson
4924,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOEHDTU12AF72A8BD5,1,I Need A Dollar,I Need A Dollar,Aloe Blacc,2010,I Need A Dollar - Aloe Blacc
4906,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOAMDXO12A8C131E2F,17,Pogo,Idealism,Digitalism,2007,Pogo - Digitalism
1525,484b69dd013df1ec0cfd504886d4f647cb32b08f,SONAQRQ12AB017FD0B,1,Angeles,Either Or,Elliott Smith,0,Angeles - Elliott Smith
1837,77cac5c3389010b64d01b30f725c24de4a5bb626,SODWUBY12A6D4F8E8A,3,Some Unholy War,Frank & Back to Black,Amy Winehouse,2006,Some Unholy War - Amy Winehouse
7127,0c306ce1440dec3b5b07b425880e43b4fb66fe93,SOMBKJF12A8C1440B9,1,Dick In A Box,Incredibad,The Lonely Island / Justin Timberlake,2009,Dick In A Box - The Lonely Island / Justin Timberlake
9383,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,SOJGRIS12AB018B889,1,Lewis Takes Off His Shirt,Heartland,Owen Pallett,2010,Lewis Takes Off His Shirt - Owen Pallett
4348,e4c05157f8cebdf3b9d689c441ba97c5ed5db05b,SOESCPO12A8C133658,1,Crackers and Cheese,Tea Leaf Green,Tea Leaf Green,1999,Crackers and Cheese - Tea Leaf Green
9258,22d652f8891ba2186a4ce3ee8de7c192148108ef,SOZCDWG12A6D4F81E1,22,A Beggar On A Beach Of Gold,Beggar On A Beach Of Gold,Mike And The Mechanics,1995,A Beggar On A Beach Of Gold - Mike And The Mechanics
4742,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SORALYQ12A8151BA99,10,If I Ain't Got You,R&B Love Collection 08,Alicia Keys,2003,If I Ain't Got You - Alicia Keys
1364,3f152d355d53865a2ca27ac5ceeffb7ebaea0a26,SOCHTHV12A6D4F9791,2,Para Tu Amor,Mi Sangre,Juanes,2004,Para Tu Amor - Juanes
1691,930d2be6c85315d72cab9823ec0f7bfe7e477794,SOVRTPN12AB0184F9E,1,Howlin For You,Brothers,The Black Keys,2010,Howlin For You - The Black Keys
9231,22d652f8891ba2186a4ce3ee8de7c192148108ef,SOPHBRE12A8C142825,1,The Runner,Because Of The Times,Kings Of Leon,2007,The Runner - Kings Of Leon
9677,b12c786deef0e618b5f277bc337f67128f425efe,SOCNLEI12A67021565,2,All Tomorrow's Parties,The Velvet Underground & Nico,The Velvet Underground / Nico,1966,All Tomorrow's Parties - The Velvet Underground / Nico
4236,8dcb524ff75e0ad0f0a80aaccadf7bbaa3b89a41,SOBDJYZ12A8C132ADA,1,Here We Are (Family In The Hallways),Peregrine,The Appleseed Cast,2006,Here We Are (Family In The Hallways) - The Appleseed Cast
5765,19d6ebd8c8a622d1b0115c63bee06523792215b5,SOSXLTC12AF72A7F54,1,Revelry,Only By The Night,Kings Of Leon,2008,Revelry - Kings Of Leon
2161,732f88be38fae217f8ab7e24c20dd072436e3e40,SOYSJUV12A8C139DCE,1,Mountains,Mountains,Biffy Clyro,2008,Mountains - Biffy Clyro
9859,b4e93ce145d511946e444cbd22c090b78735c99f,SOIMTII12A6D4F662A,3,Reign Of The Tyrants,Decade Of The Nail-spiked Bat,Jag Panzer,1984,Reign Of The Tyrants - Jag Panzer
6989,529b42cdbc379ad2e765aec6d3bad8a192038741,SOJCAVK12A8151B805,3,Superstition,Keep On Your Mean Side,The Kills,2003,Superstition - The Kills
6339,7822f4f6c7b830abf9ba48c4b7dad7e9175d052d,SOLVCKH12A8C13F5CE,5,Buzzin',Shwayze,Shwayze,2008,Buzzin' - Shwayze
9829,a8268c552c1122626ba8ab4d7cf2f799de7931b2,SOODSPH12AB01819C3,1,Between Two Lungs,Lungs,Florence + The Machine,2009,Between Two Lungs - Florence + The Machine
20,b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOOKGRB12A8C13CD66,1,Mykonos,Sun Giant,Fleet Foxes,2008,Mykonos - Fleet Foxes
8872,a56bf59af6edc5ae6c92d61ddd214989332864e8,SOWFIFP12A8C13A9EE,1,Hearts On Fire,Hearts On Fire,Cut Copy,2007,Hearts On Fire - Cut Copy
8619,6b72bb3671b838d92413635008e5d41bdb454e2f,SOVGLTY12AF72A39CD,2,Better Together,In Between Dreams,Jack Johnson,2005,Better Together - Jack Johnson
3810,884209a41deb55df792f074bccf8af1c1c31768b,SOHWEKY12A58A817A5,1,Double Bass,Gorillaz (Clean),Gorillaz,2000,Double Bass - Gorillaz
8614,6b72bb3671b838d92413635008e5d41bdb454e2f,SOEMFBP12AB017FD35,2,Say Yes,Either Or,Elliott Smith,0,Say Yes - Elliott Smith
5858,fb41d1c374d093ab643ef3bcd70eeb258d479076,SOGBZCK12A8C1362F6,5,Pollockshields,Cookies,1990s,2007,Pollockshields - 1990s
2805,b61afb42335287239bd40e1dea50d849cbf8a9a9,SOZQKSV12AF729F22B,1,Good Time,Crystal Castles,Crystal Castles,2008,Good Time - Crystal Castles
2104,732f88be38fae217f8ab7e24c20dd072436e3e40,SOPRRBV12A8C132879,1,Don't Dance,Made In The Dark,Hot Chip,2008,Don't Dance - Hot Chip
9978,bf03bbb01a7803ed1a5fec51bfe9423a79737d1a,SOSKROK12A6D4F75E4,2,On The Road Again (Pigna People Remix),On The Road Again,Telex,0,On The Road Again (Pigna People Remix) - Telex
5724,e2f4c0d8b5b7e50c31931300e9339943fc0cca99,SOCKSGZ12A58A7CA4B,1,Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park,2008,Bleed It Out [Live At Milton Keynes] - Linkin Park
4697,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOJDAQW12AF72A9B52,3,Never Felt This Way,Songs In A Minor,Alicia Keys,2001,Never Felt This Way - Alicia Keys
8761,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOOLPFK12A58A7BDE3,2,Flashing Lights,R&B Collection,Kanye West,2008,Flashing Lights - Kanye West
3580,4782b9bb73322bf80329ce5989128a67bc538747,SOGSAYQ12AB018BA14,1,Eenie Meenie,Eenie Meenie,Sean Kingston and Justin Bieber,0,Eenie Meenie - Sean Kingston and Justin Bieber
3345,b1269307f2ae8c17062c6aea2502b099aad517b6,SOKTGRH12A58A763DA,1,All In Good Time,Twelve Tribes,Richard Souther,0,All In Good Time - Richard Souther
2940,07caa920795cd4f20bfeeb0e192a5ddd9566ecdd,SOUNZHU12A8AE47481,8,I CAN'T GET STARTED,It's The Time,Ron Carter,0,I CAN'T GET STARTED - Ron Carter
4535,fbbf68d14c77af55044a7e27f7befef5c923aa08,SOFZELA12A8C1376A4,1,In Our Blood,Words Are Dead,Horse Feathers,2006,In Our Blood - Horse Feathers
8441,25c6bc04a88cda0dfcbb71d8f9d1f30b8fd641c8,SOCXCTS12AC468A380,17,Basic Space,Various Artists/Rough Trade Counter Culture 09,The xx,2009,Basic Space - The xx
5489,12a4a991c8b53cd6906995caed8b1f2bd3b6436a,SOXWYZP12AF72A42A6,1,Cosmic Love,Lungs,Florence + The Machine,2009,Cosmic Love - Florence + The Machine
8517,8c0a675214831879573af98d632bf2684273e0d9,SOJGVOS12A6D4F91D4,1,High Voltage,Hybrid Theory,Linkin Park,2000,High Voltage - Linkin Park
5697,9d100b4175fed9da71b76800b921c4a40d0208b5,SOAXGDH12A8C13F8A1,2,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0,Dog Days Are Over (Radio Edit) - Florence + The Machine
8531,e6fbcdd689ac0e85992536933f1f86503310447f,SOKILDI12A679C807F,1,La Ritournelle,Rob da Bank presents Sunday Best,Sebastien Tellier,2003,La Ritournelle - Sebastien Tellier
4777,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOVWADY12AB0189C63,1,Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,2009,Party In The U.S.A. - Miley Cyrus
2545,f47116f998e030f2dab275b81fb2a04a9dc06c33,SOLTAEJ12A8C13F793,6,What If I Do?,In Your Honour,Foo Fighters,2005,What If I Do? - Foo Fighters
9602,5e2ba12ad8f80f03471efdab6ac7d4b1734773ae,SOVNVAP12A6D4F9206,1,Be Aggressive,This Is It: The Best of Faith No More,Faith No More,1992,Be Aggressive - Faith No More
8270,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOBZXCU12A67AE1818,6,Miss Murder,Miss Murder,AFI,2006,Miss Murder - AFI
5292,12497e138741a0b94bb36a14bef32c9d0ee20fec,SOXPSGF12AB0187589,1,Kiss Me_ I'm Sh*tfaced,Live on Lansdowne_ Boston MA,Dropkick Murphys,0,Kiss Me_ I'm Sh*tfaced - Dropkick Murphys
7153,66a0167a7c636b06efc39953aca127667beea260,SOUKTVI12A8C13BF74,9,Calabria 2007,Reggae Gold 2008,ENUR Feat NATASJA,2007,Calabria 2007 - ENUR Feat NATASJA
5375,37029a65b9925fb3c1964774fcab695b82955f76,SOTNKKT12A8AE46E50,4,How Do I Live,My Country,LeAnn Rimes,1997,How Do I Live - LeAnn Rimes
9736,b12c786deef0e618b5f277bc337f67128f425efe,SOOGBTU12AB0187CB9,2,Never Met The Gooch,Kid Dynamite,Kid Dynamite,1998,Never Met The Gooch - Kid Dynamite
7480,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOFGJCW12AF72A812D,14,Already Gone,All I Ever Wanted,Kelly Clarkson,2009,Already Gone - Kelly Clarkson
6611,cc55e399781439435a046bcb1a4c78dc2c7ec0f3,SOLFXKT12AB017E3E0,1,Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2009,Fireflies - Charttraxx Karaoke
6352,c01f9838d66929bd2494eb8e627054024a13d5c4,SOFEGST12A58A7D682,1,Oxford Comma (Album),Vampire Weekend,Vampire Weekend,2007,Oxford Comma (Album) - Vampire Weekend
808,baf47ed8da24d607e50d8684cde78b923538640f,SOIAIVS12A8C137973,1,Turbulent Serenity (Instrumental),A Different Light,Anne Dudley,2001,Turbulent Serenity (Instrumental) - Anne Dudley
844,baf47ed8da24d607e50d8684cde78b923538640f,SOSFVDJ12AB017D672,7,Littlest Things (Live At The Astoria),Littlest Things,Lily Allen,2009,Littlest Things (Live At The Astoria) - Lily Allen
3197,2f343c8bd0502c4cf851a6970e47d296a4b76d5b,SOQDGUM12A8C13A26B,1,Prodigal,Dreaming Out Loud,OneRepublic,2007,Prodigal - OneRepublic
733,5a905f000fc1ff3df7ca807d57edb608863db05d,SOYYYFE12A81C2395E,1,You Could Ruin My Day,Pause,Four Tet,2001,You Could Ruin My Day - Four Tet
9961,ba8d1693c3c2153d4eb7952c786c575c1c68cc55,SOQZYQH12A8AE468E5,1,Better To Reign In Hell,Damnation And A Day,Cradle Of Filth,2003,Better To Reign In Hell - Cradle Of Filth
9979,bf03bbb01a7803ed1a5fec51bfe9423a79737d1a,SOSLLMZ12A6D4F85BB,1,Geek In The Pink (Album Version),Mr. A-Z,Jason Mraz,2006,Geek In The Pink (Album Version) - Jason Mraz
1150,bf30441e24ef5326354295723d9fe1edf59b8554,SOCVBAZ12A58A81E30,1,It's Me I'm Worried About,Old Things New,Joe Nichols,2009,It's Me I'm Worried About - Joe Nichols
9432,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,SOVEBCN12A8C13D0A6,1,Kathy with a K's Song,Oh Holy Fools,Bright Eyes,2000,Kathy with a K's Song - Bright Eyes
4484,18dc95f354220b343e98ebbb7c8564291284ed9f,SOQGVCS12AF72A078D,2,Paradise City,Greatest Hits,Guns N' Roses,1987,Paradise City - Guns N' Roses
6470,c6c57f27fed3cf897daa4f830a0e2a17e65ba77d,SOAGGLN12AB018AC9B,1,Empire Ants (Feat. Little Dragon),Plastic Beach,Gorillaz,2010,Empire Ants (Feat. Little Dragon) - Gorillaz
543,5a905f000fc1ff3df7ca807d57edb608863db05d,SOMRYYN12A6310F0F3,2,In My Place,A Rush Of Blood To The Head,Coldplay,2001,In My Place - Coldplay
7079,a699816c7f4f8855808eee732a5cbd1620091998,SONAZWN12A8151C957,1,White Winter Hymnal,White Winter Hymnal,Fleet Foxes,2008,White Winter Hymnal - Fleet Foxes
8328,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOQGOPT12AAF3B2B27,20,Wild World,Tea For The Tillerman,Cat Stevens,1970,Wild World - Cat Stevens
7136,0c306ce1440dec3b5b07b425880e43b4fb66fe93,SOVMGXI12AF72A80B0,2,Hey Mama,Elephunk,Black Eyed Peas,2003,Hey Mama - Black Eyed Peas
7964,dde4fa01de271d51a4a5617ae79820cee7d26d96,SOFRQTD12A81C233C0,1,Sehr kosmisch,Musik von Harmonia,Harmonia,0,Sehr kosmisch - Harmonia
2767,b61afb42335287239bd40e1dea50d849cbf8a9a9,SORHRGK12AB018FAFC,1,Thanks Vision,Causers Of This,Toro Y Moi,2010,Thanks Vision - Toro Y Moi
2667,ea07020bb223c733ccc55aa925ebcc25c4d97377,SOKNNMN12A6D4FBE0A,1,White Lies,In Between,Paul Van Dyk Featuring Jessica Sutta,0,White Lies - Paul Van Dyk Featuring Jessica Sutta
4196,bab8d135cf88852063ed4a084dd24c783d7ff841,SOLSCUX12A8C13D10B,1,Valentine,Justice,Justice,0,Valentine - Justice
1502,484b69dd013df1ec0cfd504886d4f647cb32b08f,SOBBHVN12A6702162D,1,More Adventurous (Album Version),More Adventurous,Rilo Kiley,2004,More Adventurous (Album Version) - Rilo Kiley
6415,7dd192c8bd4f27f573cb15e8656442aadd7a9c01,SOWZPBZ12A58A7ABA6,1,Heads Will Roll,Heads Will Roll,Yeah Yeah Yeahs,2009,Heads Will Roll - Yeah Yeah Yeahs
2549,20d0638c7ada27ac12346b0ed5ab99b39524291d,SOBSKOP12AF72A24AD,1,Not Miserable,The Winter of Mixed Drinks,Frightened Rabbit,2010,Not Miserable - Frightened Rabbit
4393,8bc2733e75989c8de36cf1bb596dabfd72734e86,SOEGIYH12A6D4FC0E3,6,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,0,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile) - Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner
2270,1a849df9dabb15845eb932d46d81e2fd77176786,SOYEOCD12AF72A192E,3,Rainbow,Breakthrough,Colbie Caillat,2009,Rainbow - Colbie Caillat
3809,884209a41deb55df792f074bccf8af1c1c31768b,SOHVSIB12AB0187B81,3,Beauty School (Album Version),Diamond Eyes,Deftones,2010,Beauty School (Album Version) - Deftones
6228,be0a4b64e9689c46e94b5a9a9c7910ee61aeb16f,SOHQFNK12A6701C0B9,1,Home (Album Version),It's Time,Michael Bublé,2005,Home (Album Version) - Michael Bublé
9041,3fd3acaa8dfeb94b0602a33085b44ebe80545dd2,SOPYMOX12A58A7783F,1,Untitled (How Does It Feel) (Edit),Ultimate D'Angelo,D'Angelo,0,Untitled (How Does It Feel) (Edit) - D'Angelo
6833,0a00498b9d607844a8826184ae7278097d1c008a,SOGNPCC12A58A80B8A,1,Vagabond,Wolfmother,Wolfmother,2005,Vagabond - Wolfmother
525,5a905f000fc1ff3df7ca807d57edb608863db05d,SOLQRCE12A6D4F8381,2,Musique,Musique Vol 1,Daft Punk,1996,Musique - Daft Punk
8484,dd67a78d5f9d8140a0d83849441ca1807f7ea790,SOSCIZP12AB0181D2F,2,Alejandro,The Fame Monster,Lady GaGa,2009,Alejandro - Lady GaGa
6923,ea64e003562d2f0f39e5a7dd84af5b1969e0fea3,SOFCPOU12A8C13BF40,21,Nothing Better (Album),Give Up,Postal Service,2003,Nothing Better (Album) - Postal Service
2730,b61afb42335287239bd40e1dea50d849cbf8a9a9,SOGXOTT12AB0187D87,1,Anonanimal,Noble Beast,Andrew Bird,2007,Anonanimal - Andrew Bird
3234,9fbc0cc4fe6191cabdddf41124bd507dca08ceb6,SOULTKQ12AB018A183,1,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0,Nothin' On You [feat. Bruno Mars] (Album Version) - B.o.B
4282,8dcb524ff75e0ad0f0a80aaccadf7bbaa3b89a41,SOMWTWK12AB01860CD,1,White Sky,Contra,Vampire Weekend,2010,White Sky - Vampire Weekend
7798,1764b2ebb09e2a40e11ed82f9c37a53a706cc4e1,SOGPBAW12A6D4F9F22,1,Livin' On A Prayer,Cross Road,Bon Jovi,1986,Livin' On A Prayer - Bon Jovi
5805,956999576244ad42d6d41faac8505fbef0a4ccc1,SOXXACF12A6D4F953E,1,End,Awake,Secondhand Serenade,2007,End - Secondhand Serenade
4937,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOGBKFC12AB01843FC,1,Human,Human,The Killers,2008,Human - The Killers
6973,529b42cdbc379ad2e765aec6d3bad8a192038741,SOAYSJV12A58A7D20C,1,Erotic City ( LP Version),The Hits/The B-Sides 3,Prince & The Revolution,0,Erotic City ( LP Version) - Prince & The Revolution
7466,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOBOLEI12A58A7E386,12,I Don't Want To Be,I Don't Want To Be,Gavin DeGraw,2003,I Don't Want To Be - Gavin DeGraw
3733,3bd42c39df324c33509a40ca917343553ef38da9,SOCQSZB12A58A7B71D,1,Campus (Album),Vampire Weekend,Vampire Weekend,2007,Campus (Album) - Vampire Weekend
5677,eb78cc7907c80266eede622da13510fc5123ae7d,SOJGSFH12AB017EFC2,1,Ego,I AM...SASHA FIERCE,Beyoncé,2008,Ego - Beyoncé
9370,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,SOGKHRQ12AF72A4231,1,The Lighthouse,Our Love To Admire,Interpol,0,The Lighthouse - Interpol
842,baf47ed8da24d607e50d8684cde78b923538640f,SORLVZE12A67ADBF3C,3,Heretics,Heretics,Andrew Bird,2007,Heretics - Andrew Bird
9154,33807e46640c7be38f02b6a61d7f1a4f31446b52,SOLMKTS12A8AE46C27,2,Bleeding Love,Spirit,Leona Lewis,2007,Bleeding Love - Leona Lewis
1939,b6b799f34a204bd928ea014c243ddad6d0be4f8f,SOVWADY12AB0189C63,1,Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,2009,Party In The U.S.A. - Miley Cyrus
7876,6251be155cbf0728f2528bb02951e0bc6c11acb2,SOSXSMM12B0B808B45,1,Dumb,In Utero,Nirvana,0,Dumb - Nirvana
1589,0152fcbd02b172a874c75a57a913f0f0109ba272,SOGIJYM12A6D4FCD3D,1,Give Me More,Just Like You,Keyshia Cole,2007,Give Me More - Keyshia Cole
8055,4bc4ae71635b18628f4b0fde4ecb0a40d6d68bf5,SOUOEMP12A8C13866E,5,Paper Planes,Decent Work For Decent Pay,M.I.A.,0,Paper Planes - M.I.A.
326,d6589314c0a9bcbca4fee0c93b14bc402363afea,SONYKOW12AB01849C9,7,Secrets,Waking Up,OneRepublic,2009,Secrets - OneRepublic
463,5a905f000fc1ff3df7ca807d57edb608863db05d,SOHDSVJ12A6D4F93FF,1,Nightvision,Discovery,Daft Punk,2001,Nightvision - Daft Punk
4434,18dc95f354220b343e98ebbb7c8564291284ed9f,SOGWLYF12A58A7CC03,1,Brown Eyed Girl (2004 Digital Remaster),Ten Years Gone The Best Of Everclear 1994-2004,Everclear,0,Brown Eyed Girl (2004 Digital Remaster) - Everclear
4986,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOPCRCE12A6D4FAB47,1,Hand In Glove,The Sound Of The Smiths,The Smiths,1983,Hand In Glove - The Smiths
8669,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOAEYBP12AB0184573,2,Highway 20 Ride (Album),The Foundation,Zac Brown Band,2007,Highway 20 Ride (Album) - Zac Brown Band
5848,343fc3fb987ca12c3c5df154c2b4721ca111f696,SOSEMOA12A6701F99E,1,In The End (Album Version),Dookie,Green Day,1994,In The End (Album Version) - Green Day
5591,1b704d4cddabea8258bd93497fcb73eab32fa592,SOKXMME12AB01805F2,1,Tear It Up,Desperate Measures,Hollywood Undead,2009,Tear It Up - Hollywood Undead
5844,343fc3fb987ca12c3c5df154c2b4721ca111f696,SONYKOW12AB01849C9,1,Secrets,Waking Up,OneRepublic,2009,Secrets - OneRepublic
2356,3b3c1e29095a98ae07e2427522244f10daa69340,SOCDQPS12A58A78C9D,1,In Another Life (Album Version),Hook Me Up,The Veronicas,2007,In Another Life (Album Version) - The Veronicas
2563,20d0638c7ada27ac12346b0ed5ab99b39524291d,SOKBOOY12A58A7BE8C,6,Red Hats For The Masses,Change In Nature EP,Operahouse,0,Red Hats For The Masses - Operahouse
8377,135ae184f8552252dcdec7f82ff6f647fa76e9ec,SOWPRYI12A58A7B51A,1,The World At Large,Good News For People Who Love Bad News,Modest Mouse,2004,The World At Large - Modest Mouse
1141,8deca80c3da6024a1456e123308eb94fee1b439f,SOMSQXY12A6310D81E,1,I Heard Love Is Blind,Frank,Amy Winehouse,2003,I Heard Love Is Blind - Amy Winehouse
845,baf47ed8da24d607e50d8684cde78b923538640f,SOTFATN12A6D4FA74D,1,The Christmas Song  (LP Version),Songs You Know - Christmas Soul Classics,King Curtis,0,The Christmas Song  (LP Version) - King Curtis
7464,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOBHIJM12AB018194F,1,Constant Knot,Bring Me Your Love,City And Colour,2008,Constant Knot - City And Colour
9984,bf03bbb01a7803ed1a5fec51bfe9423a79737d1a,SOXGQEM12AB0181D35,3,Speechless,The Fame Monster,Lady GaGa,2009,Speechless - Lady GaGa
4773,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOVNVRF12A8C14477B,1,I Can't Stay,Day & Age,The Killers,2008,I Can't Stay - The Killers
914,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOCRFPY12A8C134E04,1,Yawns,Sings The Greys,Frightened Rabbit,2006,Yawns - Frightened Rabbit
151,b64cdd1a0bd907e5e00b39e345194768e330d652,SOKIKWC12A6D4F98D8,1,Strip My Mind (Album Version),Stadium Arcadium,Red Hot Chili Peppers,0,Strip My Mind (Album Version) - Red Hot Chili Peppers
614,5a905f000fc1ff3df7ca807d57edb608863db05d,SOQTCHH12A6D4F5AAD,18,ný Batterý,NY Batteri,Sigur Ros,0,ný Batterý - Sigur Ros
8665,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOAAVUV12AB0186646,1,STARSTRUKK [FEATURINGKATYPERRY] (Explicit Bonus Version),WANT,3OH!3,2008,STARSTRUKK [FEATURINGKATYPERRY] (Explicit Bonus Version) - 3OH!3
9096,249e86c60ec6fce5c8588d51fd94e85dd47ecff7,SOSZCHA12A6D4F8268,1,Cold December,Songs We Sing,Matt Costa,2005,Cold December - Matt Costa
4965,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOKMIII12A6701D9E1,2,Oh My God,Oh My God,Kaiser Chiefs,2004,Oh My God - Kaiser Chiefs
9127,6beb4699102775dab57aa406c5ea1217c4ff4869,SOQXNGV12A6701E312,1,Funkytown,Party Triple Set,Lipps Inc.,1979,Funkytown - Lipps Inc.
5058,dfb41c400ed8fbb064644d173f8fd00398ca4370,SOPTQQB12A8C133394,1,One Sweet Day,Greatest Hits,Mariah Carey feat. Boyz II Men,1995,One Sweet Day - Mariah Carey feat. Boyz II Men
212,17aa9f6dbdf753831da8f38c71b66b64373de613,SODOZXB12A8C13CD55,1,Empty Skies,Resist,Kosheen,2000,Empty Skies - Kosheen
4927,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOEMTTQ12A6D4F990C,28,Cemetery Gates,The Queen Is Dead,The Smiths,1986,Cemetery Gates - The Smiths
2975,15415fa2745b344bce958967c346f2a89f792f63,SODQVKH12AB017FD5E,1,Express Yourself,Music For The Times We Live In,Charles Wright,2004,Express Yourself - Charles Wright
2443,01655ae6bc52e29c9cd100a7dde4e9eeae5e4031,SOWSPUS12AC468BEE3,1,Bigger Isn't Better,Born on the Wrong Planet,The String Cheese Incident,1997,Bigger Isn't Better - The String Cheese Incident
3464,b44a7b18e5861d6b5c0094e43239191cbe5ff4e1,SOCNOXN12A6D4F4CBB,1,Could We,The Greatest: Slipcase Edition,Cat Power,2006,Could We - Cat Power
1414,3f152d355d53865a2ca27ac5ceeffb7ebaea0a26,SOWKQYL12AB0183B15,6,Whatcha Say,Whatcha Say,Jason Derulo,2009,Whatcha Say - Jason Derulo
6909,4208d4ac45e7caab7167a4ea6d34e759a6b9a1fc,SOSCDXL12AB0186058,11,Your Love,Super Hits,The Outfield,1985,Your Love - The Outfield
7099,610eaa449a4793ea791ff12252845f6002794c2a,SOFLJQZ12A6D4FADA6,2,Tive Sim,Nova Bis-Cartola,Cartola,1974,Tive Sim - Cartola
725,5a905f000fc1ff3df7ca807d57edb608863db05d,SOYJJRX12A8C137A0F,5,Bonafied Lovin (Radio Edit),Bonafied Lovin,Chromeo,0,Bonafied Lovin (Radio Edit) - Chromeo
1019,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOZOIUU12A67ADFA39,1,He Can Only Hold Her,Back To Black,Amy Winehouse,2006,He Can Only Hold Her - Amy Winehouse
5143,3187e658fd71be99d68d96f3a61a436c8a607365,SOGQWTX12AB017FD78,3,Rock Steady,In Concert: Merchants Of Cool,Bad Company,1974,Rock Steady - Bad Company
3069,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOKYDNO12A6701C791,1,Fuck You,2001,Dr. Dre / Devin a/k/a The Dude / Snoop Dogg,1999,Fuck You - Dr. Dre / Devin a/k/a The Dude / Snoop Dogg
6745,e3937c7c32f5b68422808a854a4a7a824ee448a5,SOUKPBU12A8C140E2E,1,Challengers,Challengers,The New Pornographers,2007,Challengers - The New Pornographers
8997,e06fdac28cdd1d69d89de27868d5f02f71c2ee44,SOQEROB12A8C13DF51,9,Hospital Beds,Kiss With A Fist,Florence + The Machine,0,Hospital Beds - Florence + The Machine
9063,cb8ed62245335312d58c97c1d5c68b4cac682afd,SOFMZDX12A670208FB,5,Your House,Bleed American,Jimmy Eat World,2001,Your House - Jimmy Eat World
172,b64cdd1a0bd907e5e00b39e345194768e330d652,SOSSZCB12A8C1384EF,1,She'll Come Back To Me,Fashion Nugget,Cake,1996,She'll Come Back To Me - Cake
8822,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOXWYZP12AF72A42A6,2,Cosmic Love,Lungs,Florence + The Machine,2009,Cosmic Love - Florence + The Machine
1812,99b5f915dd56a0150eb91605e1f6109e1e80c9de,SOAQMNM12AB0188D7A,3,You And Me (Wedding Version),Old Dogs Original Soundtrack,Lifehouse,2005,You And Me (Wedding Version) - Lifehouse
